cell,group in,group out,nuclide,mean,std. dev.
1,1,1,total,0.13312560586020636,6.600936057957002e-05
1,1,2,total,0.0520086109339953,1.4956202413082171e-05
1,1,3,total,1.1791742651445328e-05,2.1271563632792964e-07
1,1,4,total,0.0,0.0
1,2,1,total,0.0,0.0
1,2,2,total,0.367969869988447,0.0001335484989032999
1,2,3,total,0.0006375718385696784,8.888321997348391e-07
1,2,4,total,0.0,0.0
1,3,1,total,0.0,0.0
1,3,2,total,0.0,0.0
1,3,3,total,0.4596983199819799,0.00045236129140576814
1,3,4,total,0.0007004271119270969,4.175673350253524e-06
1,4,1,total,0.0,0.0
1,4,2,total,0.0,0.0
1,4,3,total,0.0009049141783613823,1.7218958003195948e-05
1,4,4,total,0.4116406989815594,0.0005387558087727738
