cell,group in,group out,nuclide,mean,std. dev.
2,1,1,total,0.06737829130857738,8.228082246489272e-05
2,1,2,total,0.11165284078228538,5.123370283284597e-05
2,1,3,total,0.0006960549451040818,2.6537857991568427e-06
2,1,4,total,9.78552048788893e-08,3.228976303196915e-08
2,2,1,total,0.0,0.0
2,2,2,total,0.25737806540928515,0.00016229591308567027
2,2,3,total,0.15948929542112797,3.489542078523009e-05
2,2,4,total,1.7238073518609203e-05,3.559634149061615e-07
2,3,1,total,0.0,0.0
2,3,2,total,0.0,0.0
2,3,3,total,0.4297513996359572,0.0002832609835355258
2,3,4,total,0.13826171588053915,3.2170195925701924e-05
2,4,1,total,0.0,0.0
2,4,2,total,0.0,0.0
2,4,3,total,8.234967782355715e-05,3.272775185856752e-07
2,4,4,total,2.0492999510143948,0.0010155386104854338
